SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Accel,n/a,10251 N 35th Ave,Phoenix,Maricopa,85051-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Accel - East Campus,n/a,1430 E Baseline Rd,Tempe,Maricopa,85283,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Accelerated Learning Laboratory,n/a,5245 N Camino De Oeste,Tucson,Pima,85745,n, ,28,89,10.7,100,79,17.9,100,79,17.9,100,89,10.7,100,89,10.7,100,89,10.7,100,89,10.7,100,10.7,0,0
Acclaim Academy,n/a,7624 W Indian School Rd,Phoenix,Maricopa,85033,n, ,46,93,0,93,57,0,61,52,0,57,89,0,89,85,0,85,91,0,91,96,0,96,0,0,0
Acorn Montessori Charter School,n/a,8556 E Loos Dr,Prescott Valley,Yavapai,86314,n, ,30,100,0,100,77,13.3,90,77,13.3,90,100,0,100,100,0,100,100,0,100,100,0,100,13.3,0,0
Adams Elementary School,n/a,738 S Longmore,Mesa,Maricopa,85202,y,rn,87,99,1.1,100,98,1.1,100,98,0,100,99,1.1,100,99,1.1,100,99,1.1,100,100,0,100,1.1,3.4,0
Adams Traditional Academy,n/a,2323 W. Parkside Ln,Phoenix,Maricopa,85027-,n, ,56,91,8.9,100,91,0,100,91,8.9,100,91,8.9,100,91,8.9,100,91,8.9,100,100,0,100,8.9,0,0
Agua Caliente Elementary School,n/a,11420 E Limberlost Rd.,Tucson,Pima,85749-8412,y,rn,72,100,0,100,99,1.4,100,97,2.8,100,100,0,100,100,0,100,100,0,100,100,0,100,2.8,0,0
Aguila Elementary School,n/a,50023 N 514th  Ave,Aguila,Maricopa,85320-0218,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aire Libre Elementary School,n/a,16428 N 21 St,Phoenix,Maricopa,85022-,y,rn,40,98,2.5,100,93,7.5,100,93,7.5,100,98,2.5,100,98,2.5,100,98,2.5,100,98,2.5,100,7.5,0,0
Ajo Elementary School,n/a,111 Well Rd,Ajo,Pima,85321,n, ,34,97,0,97,85,0,85,79,0,79,94,0,94,100,0,100,100,0,100,91,0,91,0,0,0
Alfred F Garcia School ,n/a,1441 S. 27th Ave ,Phoenix ,Maricopa,85009-,y,lpn,69,100,0,100,99,0,99,99,0,99,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Alhambra Traditional School,n/a,3736 W. Osborn Rd.,Phoenix,Maricopa,85019-,y,lpn,78,96,2.6,99,94,2.6,99,92,2.6,96,96,3.8,100,97,2.6,100,96,2.6,99,94,6.4,100,6.4,0,0
Alice Vail Middle School,n/a,5350 E 16th St,Tucson,Pima,85711,y,rn,205,99,1,100,97,1.5,99,97,1.5,99,99,1,100,99,1,100,99,1,100,99,1,100,2.9,.5,1
All Saints Ca5tholic School,n/a,1425 Yaqui St,Sierra Vista ,Cochise,85650-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Saints Episcopal Day School,n/a,6300 N Central Ave,Phoenix,Maricopa,85012,y,rn,61,98,1.6,100,93,6.6,100,93,6.6,100,98,1.6,100,98,1.6,100,98,1.6,100,98,1.6,100,3.3,3.3,1.6
Alpine Elementary School,n/a,101 Co Rd 2311,Alpine,Apache,85920-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Alta Loma School,n/a,9750 N 87th Ave,Peoria,Maricopa,85345,y,rn,85,96,3.5,100,94,4.7,100,94,4.7,100,95,4.7,100,96,3.5,100,96,3.5,100,96,3.5,100,4.7,0,3.5
Alta Vista Elementary School,n/a,8710 N 31st Ave,Phoenix,Maricopa,85051,y,rn,91,98,0,98,99,0,100,99,0,100,98,0,98,100,0,100,99,1.1,100,98,2.2,100,0,3.3,0
Altar Valley Middle School,n/a, 16350 W Ajo Way,Tucson,Pima,85736-,y,rn,80,100,0,100,96,2.5,100,98,2.5,100,100,0,100,99,1.3,100,100,0,100,100,0,100,2.5,0,0
Ambassador Academy,n/a,3820 E Ray Rd,Phoenix,Maricopa,85044-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Amberlea Elementary,n/a,8455 W. Virginia Ave.,Phoenix,Maricopa,85037-,n, ,85,100,0,100,99,0,100,99,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
American Heritage Academy - Camp Verde,n/a,132 General Crook Tr,Camp Verde,Yavapai,86322-,n, ,22,100,0,100,82,13.6,95,82,13.6,95,95,4.5,100,100,0,100,95,4.5,100,95,4.5,100,13.6,4.5,13.6
American Heritage Academy-cottonwood,n/a,2030 E. Cherry St.,Cottonwood,Yavapai,86326-____,n, ,24,96,4.2,100,46,4.2,50,46,4.2,50,96,4.2,100,96,4.2,100,96,4.2,100,96,4.2,100,4.2,0,4.2
American Leadership Academy Anthem South Campus,n/a,4380 N Hunt Hwy,Florence,Pinal,85312-,n, ,41,95,4.9,100,93,4.9,100,90,7.3,100,95,4.9,100,93,7.3,100,95,4.9,100,95,4.9,100,7.3,2.4,4.9
American Leadership Academy- Gilbert Campus ,n/a,3155 S Santan Village Pkwy,Gilbert,Maricopa,85295-,n, ,75,85,14.7,100,64,32,100,64,33.3,100,84,16,100,85,14.7,100,83,17.3,100,85,14.7,100,33.3,0,12
American Leadership Academy- Ironwood Elementary Campus,n/a,650 W Combs Rd,Queen Creek,Maricopa,85140-,n, ,118,87,11.9,99,80,16.9,100,80,20.3,100,87,12.7,100,87,12.7,100,86,13.6,100,91,9.3,100,26.3,0,7.6
American Leadership Academy- Mesa Campus,n/a,4507 S Mountain Rd,Mesa,Maricopa,85212-,n, ,44,89,11.4,100,84,11.4,100,86,13.6,100,86,13.6,100,93,6.8,100,89,11.4,100,93,6.8,100,15.9,2.3,9.1
American Leadership Academy- Queen Creek Elementary,n/a,19843 E Chandler Heights Rd,Queen Creek ,Maricopa,85142-,n, ,136,92,8.1,100,74,22.1,100,74,24.3,100,88,12.5,100,87,13.2,100,88,11.8,100,92,7.4,99,26.5,2.9,6.6
American Leadership Academy- San Tan Valley Campus,n/a,34696 N Village Lane,San Tan Valley,Pinal,85142-,n, ,68,91,8.8,100,78,17.6,100,79,17.6,100,90,10.3,100,90,10.3,100,91,8.8,100,93,7.4,100,19.1,1.5,8.8
Amerischools Academy - Camelback,n/a,1333 West Camelback Road,Phoenix,Maricopa,85013-,n, ,30,97,3.3,100,80,6.7,90,80,6.7,87,97,3.3,100,97,3.3,100,97,3.3,100,100,0,100,6.7,0,3.3
Amerischools Academy - Yuma South Campus,n/a,2098 S 3rd Ave,Yuma,Yuma,85364-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Amerischools Academy North,n/a,1220 S. 4th Avenue,Yuma,Yuma,85364-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Amerischools Academy Tucson,n/a,1150 N. Country Club,Tucson,Pima,85716-,n, ,28,100,0,100,96,0,96,89,0,89,93,0,93,93,0,93,100,0,100,100,0,100,0,0,0
Amphitheater Middle School,n/a,315 E. Prince Rd,Tucson,Pima,85705-,y,rn,234,100,.4,100,97,2.1,100,96,2.1,100,99,.4,100,100,.4,100,100,.4,100,100,.4,100,1.3,.9,.4
Amy L. Houston Academy,n/a,7139 S 10th St,Phoenix,Maricopa,85042,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Andalucia Middle,n/a,4730 W. Campbell Ave,Phoenix,Maricopa,85031-,n, ,239,99,0,99,96,.4,99,96,.4,99,99,0,99,99,.4,99,99,0,99,100,0,100,.4,0,0
Anna Lawrence Intermediate,n/a,4850 W. Jeffrey Road,Tucson,Pima,85746-,y,rn,60,98,1.7,100,97,3.3,100,97,3.3,100,98,1.7,100,98,1.7,100,98,1.7,100,98,1.7,100,3.3,0,1.7
Anna Marie Jacebsen Elementary School,n/a,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248-,n, ,174,98,1.7,100,90,5.2,99,90,5.2,99,98,1.1,99,98,1.1,99,99,1.1,100,98,0,98,5.7,.6,0
Annunciation Catholic School,n/a,32648 N Cave Creek Road,Cave Creek,Maricopa,85331-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Anthem,n/a,41020 N Freedmon Way,Anthem,Maricopa,85086-,y,lpn,77,95,3.9,99,90,6.5,97,88,9.1,97,95,3.9,99,96,3.9,100,96,3.9,100,96,3.9,100,10.4,0,3.9
Anthem K-8 School,n/a,2700 N Anthem Way,Florence,Pinal,85232,n, ,86,98,1.2,99,95,2.3,99,94,2.3,97,99,1.2,100,99,1.2,100,99,1.2,100,99,1.2,100,1.2,0,0
Anthem Preparatory Academy,n/a,39808 N Gavilan Peak Pkwy,Anthem,Maricopa,85086,n, ,76,92,7.9,100,83,11.8,96,82,11.8,95,88,7.9,96,88,9.2,97,88,7.9,96,89,7.9,97,11.8,0,6.6
Anza Trail Elementary,n/a,15490 S Rancho Sahuarita Blv,Sahuarita,Pima,85629,n, ,235,98,1.7,100,33,1.7,46,74,1.7,76,98,1.7,100,98,1.7,100,98,1.7,100,98,1.7,100,1.7,0,1.7
Apache Elementary School,n/a,8633 W John Cabot Rd,Peoria,Maricopa,85382,y,rn,91,96,4.4,100,92,7.7,100,92,7.7,100,96,4.4,100,96,4.4,100,97,3.3,100,96,4.4,100,7.7,0,0
Apollo Middle School,n/a,265 W Nebraska,Tucson,Pima,85706-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aprende Middle School,n/a,777 N Desert Breeze Bl E #1,Chandler,Maricopa,85226-,n, ,348,98,2.3,100,92,3.4,97,92,3.4,97,96,4.3,100,97,3.4,100,97,3.2,100,98,2,100,5.2,0,1.1
Arcadia Neighborhood Learning Center,n/a,4330 N 62nd Street,Scottsdale,Maricopa,85251-,y,rn,64,95,4.7,100,67,6.3,75,66,6.3,73,95,4.7,100,94,6.3,100,95,4.7,100,94,6.3,100,7.8,0,1.6
Arete Preparatory Academy,n/a,4525 E. Baseline Rd.,Gilbert,Maricopa,85234-,y,rn,98,88,12.2,100,77,17.3,100,77,18.4,100,87,13.3,100,86,14.3,100,87,13.3,100,88,12.2,100,18.4,1,10.2
Arizona Academy Of Science And Technology,n/a,1875 N Central Ave,Phoenix,Maricopa,85004-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arizona Autism Charter School,n/a,4433 North 7th Street,Phoenix,Maricopa,85014-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arizona Charter Academy,n/a,16011 N Dysart Rd,Surprise,Maricopa,85378,n, ,51,96,3.9,100,82,3.9,90,82,3.9,90,96,3.9,100,96,3.9,100,96,3.9,100,96,3.9,100,3.9,0,3.9
Arizona College Prep- Oakland,n/a,191 West Oakland St.,Chandler,Maricopa,85225-,n, ,120,99,.8,100,88,1.7,100,93,2.5,100,99,.8,100,98,1.7,100,99,.8,100,99,.8,100,2.5,.8,.8
Arizona Connections Academy,n/a,"335 E. Germann Rd., Suite 140",Gilbert,Maricopa,85297-,n, ,155,86,14.2,100,65,16.1,83,65,16.1,82,86,13.5,99,86,13.5,100,85,14.2,99,87,12.9,100,16.8,.6,12.9
Arizona Conservatory For Arts And Academics,n/a,2820 W. Kelton Lane,Phoenix,Maricopa,85053-,n, ,72,93,6.9,100,86,9.7,99,85,9.7,97,93,6.9,100,93,6.9,100,93,6.9,100,92,6.9,99,9.7,0,6.9
Arizona Cultural Academy,n/a,7810 S 42nd Pl,Phoenix,Maricopa,85034,y,rn,25,96,0,96,64,0,100,64,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Arizona Desert Elementary School,n/a,1245 N Main St,San Luis,Yuma,85349-,y,lpn,118,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Arizona Desert Elementary School,n/a,8803 W Van Buren St,Tolleson,Maricopa,85353-,n, ,59,97,3.4,100,93,5.1,100,93,5.1,100,97,3.4,100,97,3.4,100,93,3.4,97,97,3.4,100,5.1,0,3.4
Arizona International Academy,n/a,12430 N Scottsdale Rd,Scottsdale,Maricopa,85254,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arizona School For The Deaf And Blind Tucson Campus,n/a,Asdb  Student Health Center,Tucson,Pima,85754-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arlington Elementary School,n/a,9410 S 355th Ave,Arlington,Maricopa,85322,n, ,23,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Arrowhead Christian Academy,n/a,4030 W. Yorkshire Drive,Glendale,Maricopa,85308-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arrowhead Elementary School,n/a,7490 W. Union Hills Dr.,Glendale,Maricopa,85308-,y,lpn,77,96,3.9,100,96,3.9,100,96,3.9,100,97,2.6,100,97,2.6,100,97,2.6,100,97,2.6,100,5.2,0,2.6
Arrowhead Elementary School,n/a,3820 E Nisbet,Phoenix,Maricopa,85032,y,rn,79,94,1.3,95,92,1.3,94,92,1.3,94,100,0,100,100,0,100,100,0,100,100,0,100,1.3,0,0
Arroyo School,n/a,4535 W Cholla,Glendale,Maricopa,85304,n, ,71,99,1.4,100,97,1.4,100,97,1.4,100,100,0,100,100,0,100,100,0,100,100,0,100,2.8,0,0
Arthur M. Hamilton,n/a,2020 W. Durango St.,Phoenix,Maricopa,85009-,n, ,29,100,0,100,97,0,97,97,0,97,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Arts Academy At Estrella Mountain,n/a,2504 S 91st Ave,Tolleson,Maricopa,85353-,n, ,120,98,0,98,83,0,86,82,0,100,98,0,98,98,0,98,98,0,98,100,0,100,.8,0,0
Ash Fork Joint Unified,n/a,46999 North . 5th St,Ash Fork ,Yavapai,86320-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ashland Ranch Elementary,n/a,1945 South Ashland Ranch Road,Gilbert,Maricopa,85295-,y,rn,108,98,1.9,100,91,7.4,100,91,6.5,100,98,1.9,100,98,1.9,100,100,0,100,100,0,100,7.4,0,0
Ashton Ranch,n/a,14898 W Acoma Drive,Surprise ,Maricopa,85379-,y,lpn,124,98,2.4,100,93,3.2,100,92,5.6,100,98,2.4,100,98,2.4,100,98,1.6,100,99,.8,100,6.5,0,.8
Asu Preparatory Academy,n/a,735 East Filmore St,Phoenix,Maricopa,85006-,y,rn,89,97,3.4,100,76,3.4,100,78,3.4,100,97,3.4,100,97,3.4,100,96,3.4,99,97,3.4,100,3.4,0,3.4
Asu Preparatory Academy Polytechnic Elementary,n/a,6950 E. William's Field Rd.,Mesa,Maricopa,85212-,n, ,75,97,0,97,95,4,100,95,4,100,97,2.7,100,97,2.7,100,99,1.3,100,97,2.7,100,2.7,1.3,2.7
Athos Traditional Academy,n/a,3201 S Gilbert Rd,Chandler,Maricopa,85286,n, ,137,94,5.8,100,84,14.6,100,84,14.6,100,94,5.8,100,93,7.3,100,93,6.6,100,93,7.3,100,14.6,0,4.4
Atonement Lutheran School,n/a,4001 W. Beardsley Road,Glendale,Maricopa,85308-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Audrey And Robert Ryan Elementary,n/a,4600 S Bright Angel Way,Chandler,Maricopa,85249,n, ,157,99,1.3,100,89,9.6,100,90,9.6,100,99,1.3,100,96,3.8,100,96,3.8,100,98,1.9,100,11.5,0,0
Augusta Ranch Elementary,n/a,9430 E. Neville Avenue,Mesa,Maricopa,85209-,y,rn,155,97,2.6,100,94,3.9,100,95,3.2,100,97,3.2,100,97,2.6,100,96,3.2,99,98,1.9,100,7.1,0,1.3
Augustus H Shaw Jr School,n/a,123 N 13th St,Phoenix,Maricopa,85034-,y,rn,24,92,8.3,100,88,8.3,100,88,8.3,100,92,8.3,100,92,8.3,100,92,8.3,100,92,8.3,100,8.3,0,8.3
Avalon Elementary,n/a,1045 S. San Marcos,Apache Junction,Pinal,85120-,n, ,27,100,0,100,67,11.1,100,81,11.1,93,93,0,93,100,0,100,96,3.7,100,81,18.5,100,11.1,0,0
Avondale Middle School,n/a,1406 N Central Ave,Avondale,Maricopa,85323-,y,lpn,106,97,0,97,96,0,96,96,0,96,98,0,98,99,0,99,98,0,98,100,0,100,0,0,0
Baboquivari Middle School,n/a,Highway 86 Milepost 115.5,Sells,Pima,85634-,n, ,75,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Bagdad Unified School District,n/a,515 Breezy Cir,Bagdad ,Yavapai,86321-,n, ,23,100,0,100,91,0,91,91,0,91,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Bales Elementary School,n/a,25400 W Maricopa Rd,Buckeye,Maricopa,85326,n, ,97,97,3.1,100,93,4.1,100,92,4.1,96,96,3.1,99,97,3.1,100,96,3.1,99,98,2.1,100,4.1,0,2.1
Balsz Elementary School,n/a,4309 E. Belleview,Phoenix,Maricopa,85008-,y,rn,70,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Barbara Bush Elementary School,n/a,4925 E Ingram,Mesa,Maricopa,85205,y,rn,85,96,3.5,100,93,4.7,100,93,4.7,100,96,3.5,100,96,3.5,100,95,4.7,100,100,0,100,7.1,0,0
Barcelona Middle School,n/a,6530 N 44th Ave,Glendale,Maricopa,85301-,n, ,124,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
Basha Elementary,n/a,3535 S Basha Rd,Chandler ,Maricopa,85248-,n, ,122,96,4.1,100,84,10.7,100,84,11.5,100,95,4.9,100,96,4.1,100,100,0,100,98,2.5,100,13.1,0,2.5
Basis - Ahwatukee,n/a,10210 S 50th Pl,Phoenix,Maricopa,85044,n, ,152,97,2.6,100,91,2.6,100,90,2.6,100,99,1.3,100,97,2.6,100,98,2,100,99,.7,100,4.6,.7,.7
Basis - Chandler,n/a,1800 E  Chandler Blvd,Chandler,Maricopa,85225,n, ,122,98,1.6,100,88,5.7,100,84,9.8,100,98,1.6,100,98,1.6,100,97,3.3,100,98,1.6,100,9.8,0,.8
Basis - Mesa,n/a,5010 S Eastmark Pkwy,Mesa,Maricopa,85212,n, ,113,95,5.3,100,62,28.3,100,65,28.3,100,95,5.3,100,94,6.2,100,93,7.1,100,94,6.2,100,32.7,0,0
Basis - Peoria,n/a,25950 N Lake Pleasant Rd,Peoria,Maricopa,85383,n, ,161,96,3.7,100,79,14.9,100,78,16.1,100,94,5.6,100,95,5,100,95,5,100,97,3.1,100,4.3,0,0
Basis - Scottsdale,n/a,11440 N 136th St,Scottsdale,Maricopa,85259,n, ,94,98,2.1,100,86,9.6,100,86,9.6,100,98,2.1,100,96,4.3,100,98,2.1,100,97,3.2,100,8.5,1.1,2.1
Basis - Tucson Middle School,n/a,3825 E 2nd St,Tucson,Pima,85716,n, ,75,95,5.3,100,84,12,100,84,12,100,95,5.3,100,95,5.3,100,95,5.3,100,95,5.3,100,12,0,5.3
Basis - Tucson North,n/a,5740 E River Rd,Tucson,Pima,85750-,n, ,152,99,.7,100,85,8.6,100,87,10.5,100,97,2.6,100,99,1.3,100,98,2,100,97,3.3,100,13.8,2.6,.7
Basis Flagstaff,n/a,1700 N. Gemini Dr,Flagstaff,Coconino,86001-,n, ,93,92,7.5,100,83,15.1,100,83,15.1,100,92,7.5,100,91,8.6,100,90,9.7,100,90,9.7,100,17.2,0,7.5
Basis Goodyear,n/a,15800 W. Sherman St,Goodyear,Maricopa,85338-,n, ,64,94,6.3,100,80,14.1,100,83,12.5,100,94,6.3,100,92,7.8,100,94,6.3,100,94,6.3,100,14.1,1.6,0
Basis Oro Valley,n/a,11155 North Oracle Rd.,Oro Valley,Pima,85737-____,n, ,122,99,.8,100,97,1.6,100,92,6.6,100,99,.8,100,98,2.5,100,99,.8,100,99,.8,100,3.3,4.1,0
Basis Phoenix Central,n/a,201 E Indianola Ave,Phoenix,Maricopa,85012-,n, ,67,97,3,100,88,6,100,87,6,100,97,3,100,97,3,100,94,6,100,97,3,100,7.5,0,3
Basis Phoenix Charter School,n/a,11850 N 32nd Street,Phoenix,Maricopa,85028-,n, ,151,97,3.3,100,86,11.3,100,85,11.3,100,95,4.6,100,96,4,100,94,6,100,97,3.3,100,15.9,.7,3.3
Basis Prescott,n/a,1901 Prescott Lakes Parkway,Prescott,Yavapai,86301-,n, ,92,85,15.2,100,76,22.8,100,76,22.8,100,86,14.1,100,86,14.1,100,84,16.3,100,86,14.1,100,35.9,0,8.7
Bayer Private School,n/a,23555 N. 67th Ave.,Glendale,Maricopa,85310-,y,rn,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Beaver Creek School,n/a,4810 East Beaver Creek Road,Rimrock,Yavapai,86335-,n, ,30,93,0,93,80,0,80,80,0,80,100,0,100,97,0,97,100,0,100,100,0,100,0,0,0
Bella Vista Academy,n/a,33401 North 56th Place,Scottsdale,Maricopa,85266-,n, ,<20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bella Vista Elementary School,n/a,801 N Lenzner Ave,Sierra Vista,Cochise,85635,y,rn,55,98,1.8,100,96,1.8,100,95,1.8,98,98,1.8,100,98,1.8,100,98,1.8,100,100,0,100,1.8,1.8,0
Bellair Elementary School,n/a,4701 W Grovers,Glendale,Maricopa,85308,y,lpn,65,95,4.6,100,95,0,95,95,4.6,100,95,4.6,100,92,0,92,95,0,95,98,1.5,100,4.6,3.1,0
Benchmark School,n/a,4120 E. Acoma Dr.,Phoenix,Maricopa,85032-4753,n, ,42,90,9.5,100,19,9.5,31,29,9.5,40,90,9.5,100,90,9.5,100,88,9.5,98,81,9.5,90,9.5,0,9.5
Benjamin Franklin Charter School - Gilbert,n/a,1475 So. Val Vista,Gilbert,Maricopa,85296-,y,rn,65,94,6.2,100,77,21.5,100,75,24.6,100,92,7.7,100,92,7.7,100,92,7.7,100,95,4.6,100,27.7,0,4.6
Benjamin Franklin Charter School - Power,n/a,22951 S Power Rd,Queen Creek,Maricopa,85142-,y,rn,114,91,8.8,100,70,27.2,100,71,26.3,100,90,9.6,100,90,9.6,100,89,11.4,100,90,9.6,100,29.8,0,8.8
Benjamin Franklin Charter School - Queen,n/a,22120 Queen Creek Road,Queen Creek,Maricopa,85142-,y,rn,73,93,6.8,100,82,16.4,100,78,20.5,100,93,6.8,100,93,6.8,100,89,11,100,93,6.8,100,24.7,0,2.7
Bennett Academy,n/a,2930 W Bethany Home Rd,Phoenix,Maricopa,85017,n, ,37,97,2.7,100,86,5.4,95,86,5.4,92,97,2.7,100,97,2.7,100,97,2.7,100,97,2.7,100,5.4,0,2.7
Benson Middle School,n/a,360 S Patagonia St,Benson,Cochise,85602,y,rn,89,98,1.1,99,92,4.5,98,92,4.5,98,97,2.2,99,97,2.2,99,99,0,99,97,3.4,100,4.5,1.1,3.4
Bernard Black Elementary,n/a,6550 S 27th Ave,Phoenix,Maricopa,85041,y,rn,98,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,0
