SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Anna Marie Jacobson Elementary School,public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248-,N/A,,95,96.8,3.2,100,95.8,4.2,100,95.8,4.2,100,95.8,4.2,100,95.8,4.2,100,4.2,2.1,N/A
Annie Kellond Elementary School,public,6606 E. Lehigh,Tucson,Pima,85710-,N/A,,74,94.6,4.1,99,94.6,4.1,99,95.9,4.1,100,98.6,1.4,100,98.6,1.4,100,4.1,0,N/A
Annunciation Catholic School,private,32648 N Cave Creek Road,Cave Creek,Maricopa,85331-,N/A,,21,90.5,9.5,100,90.5,9.5,100,90.5,9.5,100,90.5,9.5,100,85.7,14.3,100,14.3,0,N/A
Anthem K-8,public,2700 N. Anthem Way,Florence,Pinal,85132-,N/A,,68,95.6,4.4,100,97.1,2.9,100,95.6,4.4,100,97.1,2.9,100,97.1,2.9,100,4.4,0,N/A
Anthem Preparatory Academy,charter,39808 N Gavilan Peak Parkway,Anthem,Maricopa,85086-,N/A,,57,86,12.3,98,87.7,10.5,98,87.7,12.3,100,89.5,7,96,94.7,5.3,100,14,0,N/A
Anthem School,public,41020 N. E Freedom Way,Anthem,Maricopa,85086-,N/A,,64,92.2,4.7,97,96.9,3.1,100,92.2,6.3,98,90.6,7.8,98,96.9,3.1,100,7.8,0,N/A
Anza Trail School,public,15490 S. Rancho Sahuarita Blvd,Sahuarita,Pima,85629-9000,N/A,,96,94.8,4.2,99,93.8,3.1,97,92.7,3.1,96,95.8,3.1,99,95.8,3.1,99,3.1,0,N/A
Apache,public,8633 W. John Cabot Rd.,Peoria,Maricopa,85382-,N/A,,66,89.4,10.6,100,89.4,10.6,100,89.4,10.6,100,89.4,10.6,100,100,0,100,1.5,3,N/A
Arcadia Neighborhood Learning Center,public,4330 North 62nd Street,Scottsdale,Maricopa,85251-,N/A,,38,81.6,15.8,97,84.2,13.2,97,81.6,15.8,97,86.8,13.2,100,86.8,13.2,100,15.8,0,N/A
Archway Classical Academy Cicero ,charter,7205 N. Pima Road,Scottsdale,Maricopa,85258-,N/A,,89,89.9,10.1,100,89.9,10.1,100,88.8,11.2,100,91,9,100,94.4,5.6,100,12.4,0,N/A
Archway Classical Academy Glendale,charter,23276 N. 83rd Ave,Peoria,Maricopa,85383-,N/A,,90,92.2,7.8,100,92.2,7.8,100,91.1,8.9,100,92.2,7.8,100,94.4,5.6,100,8.9,0,N/A
Archway Classical Academy Veritas,charter,3102 N. 56th Street,Phoenix,Maricopa,85018-,N/A,,81,96.3,3.7,100,96.3,3.7,100,95.1,4.9,100,95.1,4.9,100,95.1,4.9,100,7.4,1.2,N/A
Archway North Phoenix,charter,13613 N. Cave Creek Rd,Phoenix,Maricopa,85022-,N/A,,87,92,8,100,90.8,9.2,100,87.4,12.6,100,92,8,100,93.1,0,93,13.8,0,N/A
Arete Preparatory Academy,charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234-,N/A,,85,88.2,11.8,100,88.2,11.8,100,87.1,12.9,100,90.6,9.4,100,90.6,9.4,100,15.3,0,N/A
Arizona Charter Academy,charter,16011 N. Dysart Road,Surprise,Maricopa,85374-,N/A,,74,95.9,0,96,95.9,0,96,95.9,0,96,100,0,100,100,0,100,0,0,N/A
Arizona City Elem,charter,3315 N Toltec Rd ,Eloy,Pinal,85131-,N/A,,72,100,0,100,98.6,0,99,98.6,0,99,100,0,100,100,0,100,1.4,0,N/A
Arizona Connections Academy,charter,335 E. Germann Rd.  Suite 140,Gilbert,Maricopa,85297-,N/A,,75,70.7,29.3,100,70.7,29.3,100,65.3,34.7,100,70.7,29.3,100,70.7,29.3,100,36,0,N/A
Arizona Cultural Academy & College Prep,private,7810 S 42nd Place,Phoenix,Maricopa,85042-,N/A,,33,97,3,100,97,3,100,97,3,100,97,3,100,97,3,100,3,0,N/A
Arizona Desert Elementary School,public,8803 W Van Buren St,Tolleson,Maricopa,85353-,N/A,,77,98.7,1.3,100,97.4,0,97,97.4,1.3,99,97.4,0,97,98.7,0,99,2.6,0,N/A
Arlington Elementary,public,P.o. Box 39,Arlington,Maricopa,85322-,N/A,,23,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Arozona Desert Elementary School,public,P.o. Box 6870,San Luis,Yuma,85349-,N/A,,91,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Arredondo Elementary School,public,1330 E Carson Dr,Tempe,Maricopa,85282-,N/A,,51,96.1,0,96,98,0,98,96.1,0,96,100,0,100,100,0,100,0,0,N/A
Arrowhead Elementary School,public,3820 E. Nisbet Rd.,Phoenix,Maricopa,85032-,N/A,,68,83.8,7.4,91,83.8,7.4,91,86.8,7.4,94,92.6,4.4,97,92.6,5.9,99,7.4,0,N/A
Arrowhead Elementary School,public,7490 W. Union Hills,Glendale,Maricopa,85308-,N/A,,94,96.8,3.2,100,96.8,3.2,100,96.8,3.2,100,96.8,3.2,100,97.9,2.1,100,3.2,0,N/A
Arroyo School,public,4535 W Cholla,Glendale,Maricopa,85304-,N/A,,69,97.1,2.9,100,97.1,2.9,100,97.1,2.9,100,98.6,1.4,100,100,0,100,2.9,0,N/A
Arthur M. Hamilton,public,2020 W. Durango Street,Phoenix,Maricopa,85009-,N/A,,25,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Arts Academy @ Estrella Mountain,charter,2504 S. 91st Ave,Tolleson,Maricopa,85353-,N/A,,114,92.1,1.8,94,93.9,1.8,96,93,1.8,95,95.6,1.8,97,100,0,100,1.8,0,N/A
Ashland Elementary,public,1945 S. Ashland Ranch,Gilbert,Maricopa,85295-,N/A,,85,96.5,3.5,100,97.6,2.4,100,95.3,4.7,100,96.5,3.5,100,97.6,2.4,100,2.4,2.4,N/A
Ashton Ranch Elementary School,public,14898 West Acoma Drive,Surprise,Maricopa,85379-,N/A,,85,96.5,2.4,99,96.5,2.4,99,96.5,2.4,99,96.5,2.4,99,97.6,2.4,100,2.4,0,N/A
Asu Preparatory Academy,charter,735 East Filmore St,Phoenix,Maricopa,85006-,N/A,,74,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Asu Preparatory Academy Polytechnic Elementary,charter,6950 E. Williams Field Rd.,Mesa,Maricopa,85212-,N/A,,74,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,1.4,0,N/A
Audrey & Robert Ryan Elementary,public,4600 S Bright Angel Way,Chandler,Maricopa,85249-,N/A,,98,93.9,6.1,100,93.9,6.1,100,90.8,9.2,100,92.9,7.1,100,96.9,3.1,100,11.2,0,N/A
Augusta Ranch Elementary,public,9430 East Neville Avenue,Mesa,Maricopa,85209-,N/A,,140,96.4,3.6,100,95.7,4.3,100,96.4,3.6,100,95.7,4.3,100,96.4,3.6,100,3.6,0,N/A
Augustus H Shaw Jr School,public,123 North 13th St,Phoenix,Maricopa,85034-,N/A,,32,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Avalon Elementary,charter,1045 S. San Marcos,Apache Junction,Pinal,85120-,N/A,,41,80.5,19.5,100,85.4,14.6,100,82.9,17.1,100,87.8,12.2,100,87.8,12.2,100,24.4,2.4,N/A
Bagdad Elementary School,public,515 Breezy Circle,Bagdad,Yavapai,86323-,N/A,,45,91.1,4.4,96,93.3,4.4,98,91.1,8.9,100,97.8,2.2,100,95.6,4.4,100,8.9,0,N/A
Bales Elementary School,public,25400 W. Maricopa Rd,Buckeye,Maricopa,85326-,N/A,,99,96,4,100,96,4,100,96,4,100,96,4,100,96,4,100,4,0,N/A
Balsz Elementry School,public,4309 E. Belleview,Phoenix,Maricopa,85008-,N/A,,80,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Banks Elementary,public,3200 S Lead Flower,Tucson,Pima,85735-,N/A,,47,95.7,2.1,98,97.9,2.1,100,95.7,2.1,98,95.7,2.1,98,97.9,2.1,100,2.1,0,N/A
Barbara B. Robey Elementary School,public,5340 Wigwam Creek Blvd,Litchfield Park,Maricopa,85340-,N/A,,118,97.5,2.5,100,97.5,2.5,100,97.5,2.5,100,97.5,2.5,100,97.5,2.5,100,2.5,0,N/A
Basha Elementary ,public,3535 S. Basha Road,Chandler ,Maricopa,85248-,N/A,,105,97.1,2.9,100,97.1,2.9,100,96.2,3.8,100,97.1,2.9,100,97.1,2.9,100,3.8,0,N/A
Basis Oro Valley,charter,11155 N. Oracle Rd,Oro Valley,Pima,85137-,N/A,,103,96.1,3.9,100,96.1,3.9,100,95.1,4.9,100,95.1,4.9,100,96.1,3.9,100,6.8,0,N/A
Basis Phoenix Central,charter,201 E. Indianola Ave,Phoenix,Maricopa,85012-,N/A,,157,89.8,10.2,100,91.1,8.9,100,89.8,10.2,100,90.4,9.6,100,90.4,9.6,100,12.7,0,N/A
Basis Tucson,charter,3825 E Second Street,Tucson,Pima,85716-,N/A,,127,96.1,3.9,100,96.1,3.9,100,96.1,3.9,100,95.3,4.7,100,96.1,3.9,100,3.9,.8,N/A
Beaver Creek School,public,4810 East Beaver Creek Road,Rimrock,Yavapai,86335-,N/A,,28,82.1,0,82,82.1,0,82,82.1,0,82,100,0,100,100,0,100,0,0,N/A
Beaver Dam Elementary School,public,P O Box 730,Beaver Dam,Mohave,86432-,N/A,,21,100,0,100,95.2,0,95,90.5,0,90,100,0,100,100,0,100,0,0,N/A
Bella Vista Elementary School,public,801 N. Lenzner,Sierra Vista,Cochise,85635-,N/A,,92,96.7,0,97,98.9,0,99,98.9,0,99,96.7,0,97,100,0,100,0,0,N/A
Bellair Elementary,public,4701 W Grovers,Glendale,Maricopa,85308-,N/A,,67,77.6,4.5,82,86.6,3,90,88.1,3,91,94,1.5,96,92.5,3,96,3,0,N/A
Benchmark School,charter,4120 E. Acoma Dr.,Phoenix,Maricopa,85032,N/A,,65,87.7,7.7,95,90.8,9.2,100,87.7,9.2,97,89.2,9.2,98,90.8,9.2,100,9.2,0,N/A
Benjamin Franklin Charter School - Gilbert Campus,charter,1475 So. Val Vista,Gilbert,Maricopa,85296-,N/A,,91,89,11,100,90.1,9.9,100,89,11,100,92.3,7.7,100,93.4,6.6,100,13.2,0,N/A
Benjamin Franklin Charter School - Power Campus,charter,22951 S Power Rd,Queen Creek,Maricopa,85142-,N/A,,116,75.9,24.1,100,76.7,23.3,100,77.6,22.4,100,80.2,19.8,100,82.8,17.2,100,27.6,.9,N/A
Benjamin Franklin Charter School - Queen Creek Campus,charter,22120 E Queen Creek Rd,Queen Creek,Maricopa,85142-,N/A,,113,79.6,20.4,100,80.5,19.5,100,79.6,20.4,100,86.7,13.3,100,85,15,100,22.1,0,N/A
Bennett Academy,charter,2930 W Bethany Home Rd,Phoenix,Maricopa,85017-,N/A,,23,100,0,100,100,0,100,95.7,0,96,95.7,0,96,100,0,100,0,0,N/A
Benson Primary School,public,360 S Patagonia St.,Benson,Cochise,85602-,N/A,,94,95.7,3.2,99,95.7,3.2,99,94.7,3.2,98,96.8,3.2,100,95.7,4.3,100,4.3,0,N/A
Berean Academy,charter,1169 N. Colombo Avenue,Sierra Vista,Cochise,85635-,N/A,,31,96.8,0,97,93.5,0,94,80.6,0,81,87.1,0,87,67.7,0,68,0,0,N/A
Bernard Black,public,6550 S 27th Ave,Phoenix,Maricopa,85041-,N/A,,106,97.2,.9,98,97.2,.9,98,97.2,0,97,100,0,100,100,0,100,.9,0,N/A
Bicentennial South School,public,7240 W. Colter St.,Glendale,Maricopa,85303-,N/A,,148,95.9,.7,97,98.6,.7,99,98,.7,99,98.6,.7,99,100,0,100,.7,0,N/A
Big Park Community School,public,25 West Saddlehorn Drive,Sedona,Yavapai,86351-,N/A,,34,85.3,14.7,100,85.3,14.7,100,85.3,14.7,100,85.3,14.7,100,85.3,14.7,100,14.7,0,N/A
Biltmore Prep School,public,4601 North 34th Street,Phoenix,Maricopa,85018-,N/A,,70,95.7,4.3,100,95.7,4.3,100,92.9,4.3,97,100,0,100,94.3,4.3,99,4.3,0,N/A
Black Mountain Elementary School,public,3404 N. Santa Maria Rd,Golden Valley,Mohave,86413-,N/A,,59,91.5,1.7,93,91.5,1.7,93,89.8,1.7,92,94.9,1.7,97,93.2,1.7,95,1.7,0,N/A
Black Mountain Elementary School,public,33606 N 60th Street,Scottsdale,Maricopa,85266-,N/A,,43,90.7,7,98,88.4,11.6,100,95.3,4.7,100,88.4,11.6,100,97.7,2.3,100,14,0,N/A
Blackwater Community School,charter,3652 E. Blackwater School Road,Coolidge,Pinal,85128-,N/A,,75,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Blake Primary School,public,701 S Navajo ,Parker,La Paz,85344-,N/A,,115,91.3,0,91,90.4,0,90,92.2,0,92,95.7,0,96,90.4,0,90,0,0,N/A
Blenman Elementary,public,1695 N. Country Club Rd,Tucson,Pima,85716-,N/A,,77,96.1,3.9,100,97.4,2.6,100,96.1,3.9,100,96.1,3.9,100,97.4,2.6,100,3.9,1.3,N/A
Bloom Elementary School ,public,8310 E. Pima Street,Tucson,Pima,85715-,N/A,,50,98,2,100,98,2,100,98,2,100,96,4,100,96,4,100,4,0,N/A
Blue Ridge Elementary,public,1200 W White Mountain Blvd,Lakeside,Navajo,85929-6532,N/A,,102,95.1,2.9,98,96.1,2,98,96.1,2.9,99,97.1,2,99,98,2,100,2.9,0,N/A
Bonillas,public,4757 E. Winsett ,Tucson,Pima,85711-,N/A,,67,100,0,100,100,0,100,100,0,100,98.5,1.5,100,100,0,100,0,1.5,N/A
Bonnie Brennan Elementary,public,Po Box 580,Winslow,Navajo,86047-,N/A,,138,99.3,0,99,100,0,100,99.3,0,99,100,0,100,100,0,100,0,0,N/A
Booth Fickett K8 Magnet School,public,450 S. Montego Drive,Tucson,Pima,85710-,N/A,,78,98.7,0,99,98.7,0,99,98.7,1.3,100,98.7,0,99,100,0,100,0,1.3,N/A
Borman,public,6630 Lightning Dr.,Tucson,Pima,85708-,N/A,,100,99,0,99,100,0,100,98,1,99,98,1,99,98,1,99,0,1,N/A
Borton Magnet,public,700 E 22nd St,Tucson,Pima,85713-,N/A,,75,96,4,100,97.3,2.7,100,96,4,100,96,4,100,94.7,5.3,100,4,2.7,N/A
Boulder Creek Elementary,public,22801 North 22nd Street,Phoenix,Maricopa,85024-,N/A,,101,93.1,6.9,100,94.1,5.9,100,93.1,6.9,100,94.1,5.9,100,94.1,5.9,100,5.9,0,N/A
Boulder Creek Elementary,public,140 S Gilbert Rd,Gilbert,Maricopa,85234-,N/A,,77,97.4,1.3,99,98.7,1.3,100,98.7,1.3,100,98.7,1.3,100,98.7,1.3,100,1.3,0,N/A
Bret R. Tarver Elementary School,public,4308 N. 51st Ave,Phoenix,Maricopa,85031-,N/A,,137,95.6,.7,96,98.5,.7,99,97.1,0,97,99.3,0,99,100,0,100,.7,0,N/A
Bright Beginnings School,charter,400 N. Andersen Blvd,Chandler,Maricopa,85224-,N/A,,63,95.2,4.8,100,95.2,4.8,100,92.1,7.9,100,95.2,4.8,100,95.2,4.8,100,7.9,0,N/A
Brinton,public,1145 E Sunland Ave,Mesa,Pinal,85208-7705,N/A,,71,93,4.2,97,94.4,4.2,99,94.4,5.6,100,95.8,4.2,100,100,0,100,7,0,N/A
Broadmor Elementary School,public,311 E Aepli Road,Tempe,Maricopa,85182-,N/A,,117,94.9,5.1,100,93.2,6,99,93.2,6,99,96.6,3.4,100,94.9,4.3,99,6,0,N/A
Brunson-lee Elementary,public,1350 N. 48th Street,Phoenix,Maricopa,85008-,N/A,,76,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Buckeye Elementary School,public,25555 W Durango St,Buckeye,Maricopa,85326-,N/A,,95,93.7,6.3,100,93.7,6.3,100,93.7,6.3,100,93.7,6.3,100,93.7,6.3,100,6.3,0,N/A
Burk Elementary School,public,545 North Burk St. ,Gilbert,Maricopa,85234-,N/A,,51,96.1,3.9,100,96.1,3.9,100,94.1,5.9,100,98,2,100,96.1,3.9,100,5.9,0,N/A
Burke Basic School,charter,131 E. Southern Ave,Mesa,Maricopa,85201-,N/A,,128,94.5,1.6,96,94.5,1.6,96,94.5,1.6,96,100,0,100,98.4,1.6,100,.8,1.6,N/A
Bush Elementary,public,4925 E. Ingram St,Mesa,Maricopa,85205-,N/A,,91,93.4,6.6,100,93.4,6.6,100,94.5,5.5,100,95.6,4.4,100,93.4,6.6,100,5.5,1.1,N/A
Butterfield Elementary,public,3400 W. Massingale Rd.,Tucson,Pima,85741-,N/A,,60,96.7,1.7,98,98.3,1.7,100,96.7,1.7,98,96.7,1.7,98,98.3,1.7,100,1.7,0,N/A
Butterfield Elementary School,public,43800 West Honeycutt Rd,Maricopa,Pinal,85138-,N/A,,107,94.4,5.6,100,94.4,5.6,100,93.5,6.5,100,96.3,3.7,100,96.3,3.7,100,7.5,0,N/A
C. E. Rose K-8,public,710 W. Michigan St.,Tucson,Pima,85714-,N/A,,109,98.2,0,98,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
C.i Waggoner,public,1050 E Carver Rd,Tempe,Maricopa,85284-2447,N/A,,110,93.6,6.4,100,93.6,6.4,100,92.7,7.3,100,93.6,6.4,100,96.4,3.6,100,6.4,0,N/A
C.j. Jorgensen,public,1701 W. Roeser Rd.,Phoenix,Maricopa,85041-,N/A,,53,96.2,3.8,100,98.1,1.9,100,100,0,100,100,0,100,100,0,100,0,3.8,N/A
C.w.mcgraw,public,2345 Arizona Avenue,Yuma,Yuma,85364-,N/A,,109,99.1,0,99,100,0,100,94.5,0,94,100,0,100,100,0,100,0,0,N/A
Cactus View,public,10858. W. Alex Ave,Sun City,Maricopa,85373-____,N/A,,95,92.6,6.3,99,93.7,6.3,100,93.7,6.3,100,95.8,4.2,100,95.8,4.2,100,5.3,0,N/A
Cactus Wren Elementary School,public,9650 N. 39th Ave,Phoenix,Maricopa,85051-,N/A,,59,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
